name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Louie Marsh,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Andre Brooks,[12.25  8.25 18.5 ],0.0,43.0,0.0,43.0
Antwoine Hackford,[ 0.25  3.25 57.5 ],0.0,65.0,0.0,65.0
Gustavo Hamer,[34.25  2.25  1.5 ],4.0,38.0,7.0,35.0
Tom Davies,[ 88.25  74.25 141.5 ],6.0,302.0,7.0,301.0
Luke Thomas,[54.25 14.25 84.5 ],1.0,156.0,3.0,154.0
Ryan OnÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jili Buyabu,[ 0.25  0.25 30.5 ],0.0,35.0,0.0,35.0
Sydie Peck,[ 0.25  1.25 22.5 ],0.0,28.0,0.0,28.0
Ben Brereton,[14.25  0.25  4.5 ],6.0,17.0,1.0,22.0
Ivo Grbic,[9.25 0.25 8.5 ],0.0,22.0,0.0,22.0
Billy Blacker,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Oliver Arblaster,[11.25  1.25  2.5 ],0.0,19.0,0.0,19.0
Dovydas Sasnauskas,[ 0.25  0.25 13.5 ],0.0,18.0,0.0,18.0
Sam Curtis,[ 0.25  1.25 12.5 ],0.0,18.0,0.0,18.0
Owen Hampson,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
Brennan Johnson,[47.25 26.25  3.5 ],13.0,68.0,17.0,64.0
Brandon Austin,[  0.25   0.25 130.5 ],0.0,135.0,0.0,135.0
Rodrigo Bentancur,[33.25 25.25 36.5 ],6.0,93.0,7.0,92.0
Yves Bissouma,[119.25  44.25  65.5 ],3.0,230.0,2.0,231.0
Bryan Gil Salvatierra,[ 4.25 20.25 90.5 ],0.0,119.0,1.0,118.0
Ben Davies,[151.25  43.25 203.5 ],7.0,395.0,19.0,383.0
Eric Dier,[178.25  31.25  95.5 ],7.0,302.0,6.0,303.0
Emerson Leite de Souza Junior,[21.25 27.25 28.5 ],3.0,78.0,2.0,79.0
Fraser Forster,[ 99.25   1.25 204.5 ],0.0,309.0,0.0,309.0
Pierre-Emile HÃ¸jbjerg,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Harry Kane,[213.25  21.25  70.5 ],163.0,146.0,51.0,258.0
Dejan Kulusevski,[63.25 21.25 10.5 ],15.0,84.0,19.0,80.0
Hugo Lloris,[209.25  16.25  79.5 ],0.0,309.0,0.0,309.0
Giovani Lo Celso,[31.25 46.25 75.5 ],3.0,154.0,6.0,151.0
James Maddison,[155.25  36.25  37.5 ],47.0,186.0,50.0,183.0
Tanguy NdombÃ©lÃ© Alvaro,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Pedro Porro,[48.25  2.25  5.5 ],6.0,54.0,11.0,49.0
Ivan PeriÅ¡iÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Richarlison de Andrade,[184.25  44.25  38.5 ],60.0,211.0,37.0,234.0
Joe Rodon,[  9.25   6.25 161.5 ],0.0,181.0,0.0,181.0
Cristian Romero,[73.25  9.25 32.5 ],6.0,113.0,2.0,117.0
Davinson SÃ¡nchez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Pape Matar Sarr,[29.25 16.25 31.5 ],3.0,78.0,4.0,77.0
Ryan Sessegnon,[ 39.25  34.25 155.5 ],4.0,229.0,11.0,222.0
Oliver Skipp,[ 37.25  40.25 144.5 ],1.0,225.0,0.0,226.0
Son Heung-min,[55.25 16.25  5.5 ],27.0,54.0,16.0,65.0
Djed Spence,[ 0.25  4.25 72.5 ],0.0,81.0,0.0,81.0
Japhet Tanganga,[ 22.25   5.25 145.5 ],0.0,177.0,0.0,177.0
Destiny Udogie,[28.25  0.25 10.5 ],2.0,41.0,3.0,40.0
Guglielmo Vicario,[38.25  0.25  0.5 ],0.0,43.0,0.0,43.0
Alfie Whiteman,[  0.25   0.25 132.5 ],0.0,137.0,0.0,137.0
